All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    meta.M26032  spades.M26032  velvet.M26032  abyss.115.M26032
# contigs (>= 0 bp)         9            121            22             24              
# contigs (>= 1000 bp)      7            11             11             20              
# contigs (>= 5000 bp)      6            9              8              19              
# contigs (>= 10000 bp)     6            8              8              17              
# contigs (>= 25000 bp)     6            8              8              16              
# contigs (>= 50000 bp)     5            7              7              10              
Total length (>= 0 bp)      1827955      1927004        1886802        2020177         
Total length (>= 1000 bp)   1826401      1880481        1880859        2019422         
Total length (>= 5000 bp)   1822909      1875373        1876964        2017839         
Total length (>= 10000 bp)  1822909      1868695        1876964        2007007         
Total length (>= 25000 bp)  1822909      1868695        1876964        1992043         
Total length (>= 50000 bp)  1794923      1840709        1849025        1767583         
# contigs                   9            33             18             20              
Largest contig              1058158      528855         572677         532316          
Total length                1827955      1893144        1885308        2019422         
GC (%)                      38.01        38.09          38.02          38.13           
N50                         1058158      522565         485637         272438          
N75                         362516       141004         362323         79294           
L50                         1            2              2              3               
L75                         2            4              3              7               
# N's per 100 kbp           3.28         0.00           57.13          0.00            
