Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# misassembled contigs	Misassembled contigs length	# local misassemblies	# mismatches	# indels	    # short indels	    # long indels	Indels length
M05964_contigs	58	58	0	0	11	1736208	64	38322	1040	914	126	3377
M07572_contigs	54	54	0	0	15	1784888	54	37968	1033	912	121	3370
M10540_contigs	55	55	0	0	4	1216269	27	37835	885	814	71	2099
M16180_contigs	55	55	0	0	11	1809056	65	36330	971	853	118	3394
