Assembly	M05964_contigs	M07572_contigs	M10540_contigs	M16180_contigs
# fully unaligned contigs	740	745	91	145
Fully unaligned length	589529	673757	73021	164767
# partially unaligned contigs	1	4	16	20
    # with misassembly	0	1	1	5
    # both parts are significant	0	1	2	3
Partially unaligned length	72	29685	42341	32185
# N's	0	0	0	0
