Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# misassembled contigs	Misassembled contigs length	# local misassemblies	# mismatches	# indels	    # short indels	    # long indels	Indels length
M05964_contigs	46	46	0	0	12	1764376	65	41475	1143	1001	142	3553
M07572_contigs	42	42	0	0	15	1784888	70	42147	1035	912	123	3308
M10540_contigs	84	84	0	0	8	1728472	42	40524	1043	946	97	2543
M16180_contigs	46	46	0	0	11	1811749	69	42082	1124	989	135	3336
