All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    meta.M28801  spades.M28801  velvet.M28801  abyss.115.M28801
# contigs (>= 0 bp)         15           131            23             35              
# contigs (>= 1000 bp)      14           16             13             27              
# contigs (>= 5000 bp)      11           11             10             16              
# contigs (>= 10000 bp)     11           11             8              14              
# contigs (>= 25000 bp)     9            9              8              10              
# contigs (>= 50000 bp)     8            8              7              9               
Total length (>= 0 bp)      1931069      1980817        1935542        1978264         
Total length (>= 1000 bp)   1930395      1929363        1929572        1974844         
Total length (>= 5000 bp)   1926470      1921773        1924547        1947178         
Total length (>= 10000 bp)  1926470      1921773        1912716        1935431         
Total length (>= 25000 bp)  1898277      1893580        1912716        1882012         
Total length (>= 50000 bp)  1863626      1858929        1877985        1840874         
# contigs                   15           39             20             29              
Largest contig              597434       595373         594914         599589          
Total length                1931069      1944180        1934250        1976233         
GC (%)                      37.91        37.91          37.89          38.01           
N50                         283359       283359         453348         198252          
N75                         153831       152606         198240         155056          
L50                         3            3              2              3               
L75                         5            5              4              5               
# N's per 100 kbp           1.55         0.00           54.65          0.00            
