Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
meta.M28801	15	14	11	11	9	8	1931069	1930395	1926470	1926470	1898277	1863626	15	597434	1931069	37.91	283359	153831	3	5	1.55
spades.M28801	131	16	11	11	9	8	1980817	1929363	1921773	1921773	1893580	1858929	39	595373	1944180	37.91	283359	152606	3	5	0.00
velvet.M28801	23	13	10	8	8	7	1935542	1929572	1924547	1912716	1912716	1877985	20	594914	1934250	37.89	453348	198240	2	4	54.65
abyss.115.M28801	35	27	16	14	10	9	1978264	1974844	1947178	1935431	1882012	1840874	29	599589	1976233	38.01	198252	155056	3	5	0.00
