Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
meta.M29658	18	16	13	13	11	9	1860110	1858891	1852707	1852707	1817707	1750240	17	543253	1859623	38.01	233236	123903	3	6	0.00
spades.M29658	107	16	13	13	11	9	1897227	1857655	1851471	1851471	1816471	1749004	32	543253	1868123	38.04	233236	123903	3	6	0.00
velvet.M29658	29	19	14	13	11	9	1863406	1858724	1851864	1842735	1807350	1740689	22	543483	1860695	38.00	233354	123792	3	6	20.37
abyss.115.M29658	30	27	19	19	14	8	1928115	1927034	1905895	1905895	1822889	1628887	28	555623	1927705	38.21	218890	115862	3	7	0.00
