Assembly	meta.M29684	spades.M29684	velvet.M29684	abyss.115.M29684
# contigs (>= 0 bp)	17	144	25	20
# contigs (>= 1000 bp)	15	18	16	19
# contigs (>= 5000 bp)	10	11	10	17
# contigs (>= 10000 bp)	9	10	9	13
# contigs (>= 25000 bp)	8	9	9	11
# contigs (>= 50000 bp)	7	8	8	10
Total length (>= 0 bp)	1818030	1870629	1822121	1872145
Total length (>= 1000 bp)	1816922	1819489	1817999	1872027
Total length (>= 5000 bp)	1805530	1805613	1807279	1865763
Total length (>= 10000 bp)	1800443	1800526	1802192	1836787
Total length (>= 25000 bp)	1790433	1790516	1802192	1811119
Total length (>= 50000 bp)	1762612	1762695	1774185	1777976
# contigs	16	37	19	19
Largest contig	544210	544210	544473	553521
Total length	1817595	1830409	1819863	1872027
GC (%)	37.94	38.05	37.93	38.14
N50	427645	380836	380785	270515
N75	139233	139233	139557	102251
L50	2	2	2	3
L75	4	4	5	6
# N's per 100 kbp	0.00	0.00	58.69	44.44
