All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    meta.M16180  spades.M16180  velvet.M16180  abyss.115.M16180
# contigs (>= 0 bp)         17           987            35             41              
# contigs (>= 1000 bp)      15           143            15             29              
# contigs (>= 5000 bp)      11           15             9              25              
# contigs (>= 10000 bp)     10           11             9              20              
# contigs (>= 25000 bp)     10           11             9              18              
# contigs (>= 50000 bp)     9            9              8              14              
Total length (>= 0 bp)      1854854      2509733        1860622        1889262         
Total length (>= 1000 bp)   1853545      2065109        1852144        1886064         
Total length (>= 5000 bp)   1840680      1852013        1841557        1875782         
Total length (>= 10000 bp)  1835615      1828190        1841557        1842411         
Total length (>= 25000 bp)  1835615      1828190        1841557        1811055         
Total length (>= 50000 bp)  1807147      1774929        1813030        1684197         
# contigs                   16           509            19             30              
Largest contig              402078       401223         536410         401071          
Total length                1854419      2312543        1854369        1886579         
GC (%)                      38.06        37.97          38.00          38.16           
N50                         291100       165472         409267         125260          
N75                         137317       62417          135067         73840           
L50                         3            4              2              5               
L75                         5            9              4              10              
# N's per 100 kbp           0.00         0.00           9.87           0.00            
