Assembly	meta.M10540	spades.M10540	velvet.M10540	abyss.115.M10540
# contigs (>= 0 bp)	13	878	16	21
# contigs (>= 1000 bp)	11	50	12	16
# contigs (>= 5000 bp)	8	8	9	15
# contigs (>= 10000 bp)	8	8	8	13
# contigs (>= 25000 bp)	7	7	7	11
# contigs (>= 50000 bp)	4	4	4	7
Total length (>= 0 bp)	1810933	2286936	1812002	1837948
Total length (>= 1000 bp)	1809818	1857076	1809774	1836742
Total length (>= 5000 bp)	1803311	1803001	1803517	1833002
Total length (>= 10000 bp)	1803311	1803001	1794659	1822459
Total length (>= 25000 bp)	1792873	1792563	1784345	1800925
Total length (>= 50000 bp)	1700550	1700240	1691654	1655191
# contigs	12	396	14	17
Largest contig	1150585	1150585	1142102	409656
Total length	1810497	2086826	1811125	1837278
GC (%)	37.91	37.84	37.91	38.06
N50	1150585	1150585	1142102	287467
N75	311605	186707	311402	191716
L50	1	1	1	3
L75	2	3	2	5
# N's per 100 kbp	0.00	0.00	26.72	0.16
