Assembly	M05964_contigs	M07572_contigs	M10540_contigs	M16180_contigs
# fully unaligned contigs	739	744	87	144
Fully unaligned length	583486	667346	70270	174569
# partially unaligned contigs	2	7	19	15
    # with misassembly	0	0	4	2
    # both parts are significant	1	2	4	3
Partially unaligned length	1156	35147	638820	22661
# N's	0	0	0	0
