Assembly	M05964_contigs	M07572_contigs	M10540_contigs	M16180_contigs
# fully unaligned contigs	1	17	0	376
Fully unaligned length	2293	64371	0	413756
# partially unaligned contigs	1	4	3	100
    # with misassembly	0	1	1	4
    # both parts are significant	1	1	1	22
Partially unaligned length	1399	34098	1282	62660
# N's	1086	1127	693	1471
