Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# misassembled contigs	Misassembled contigs length	# local misassemblies	# mismatches	# indels	    # short indels	    # long indels	Indels length
M05964_contigs	47	46	0	1	9	1782615	66	39820	1014	898	116	3243
M07572_contigs	7	7	0	0	6	902633	24	13231	441	360	81	2164
M10540_contigs	84	84	0	0	6	1741348	43	40034	957	866	91	2250
M16180_contigs	1	1	0	0	1	982	10	18159	358	313	45	1196
