Assembly	meta.M29323	spades.M29323	velvet.M29323	abyss.115.M29323
# contigs (>= 0 bp)	12	46	20	26
# contigs (>= 1000 bp)	9	9	10	22
# contigs (>= 5000 bp)	6	6	7	17
# contigs (>= 10000 bp)	6	6	7	16
# contigs (>= 25000 bp)	6	6	7	15
# contigs (>= 50000 bp)	5	5	6	10
Total length (>= 0 bp)	1909690	1923996	1911542	2122100
Total length (>= 1000 bp)	1908166	1908166	1906484	2120809
Total length (>= 5000 bp)	1903297	1903297	1902432	2104480
Total length (>= 10000 bp)	1903297	1903297	1902432	2098715
Total length (>= 25000 bp)	1903297	1903297	1902432	2086283
Total length (>= 50000 bp)	1876035	1876035	1875099	1930768
# contigs	10	16	13	23
Largest contig	1066307	1066307	1066025	666000
Total length	1908860	1912517	1908573	2121360
GC (%)	38.06	38.06	38.05	38.19
N50	1066307	1066307	1066025	186222
N75	401648	401648	198830	121555
L50	1	1	1	4
L75	2	2	3	7
# N's per 100 kbp	0.00	0.00	34.48	0.00
