Assembly	M05964_contigs	M07572_contigs	M10540_contigs	M16180_contigs
# fully unaligned contigs	736	742	89	135
Fully unaligned length	580773	652214	72883	169923
# partially unaligned contigs	2	5	16	16
    # with misassembly	0	1	2	1
    # both parts are significant	1	1	1	3
Partially unaligned length	1710	27433	100491	26392
# N's	0	0	0	0
