Assembly	# misassemblies	    # relocations	    # translocations	    # inversions	# misassembled contigs	Misassembled contigs length	# local misassemblies	# mismatches	# indels	    # short indels	    # long indels	Indels length
M05964_contigs	74	74	0	0	7	1292094	31	37264	895	822	73	2227
M07572_contigs	57	57	0	0	10	1353473	35	40279	949	868	81	2329
M10540_contigs	7	6	0	1	1	1150911	8	628	65	40	25	673
M16180_contigs	7	7	0	0	7	10672	12	24297	425	398	27	863
