Assembly	meta.M29400	spades.M29400	velvet.M29400	abyss.115.M29400
# contigs (>= 0 bp)	22	115	36	34
# contigs (>= 1000 bp)	20	21	14	28
# contigs (>= 5000 bp)	13	14	11	23
# contigs (>= 10000 bp)	13	12	11	16
# contigs (>= 25000 bp)	11	10	10	13
# contigs (>= 50000 bp)	9	9	8	11
Total length (>= 0 bp)	1896374	1931378	1903898	1947200
Total length (>= 1000 bp)	1895357	1892026	1891630	1945357
Total length (>= 5000 bp)	1880815	1878972	1885733	1934727
Total length (>= 10000 bp)	1880815	1865881	1885733	1877656
Total length (>= 25000 bp)	1857131	1830776	1875042	1835539
Total length (>= 50000 bp)	1802860	1802860	1821877	1779641
# contigs	21	38	23	30
Largest contig	529588	529588	597758	537049
Total length	1896011	1902624	1898628	1946487
GC (%)	37.98	37.97	37.96	38.11
N50	211015	211015	211252	158047
N75	153620	153620	196945	90942
L50	3	3	3	4
L75	6	6	5	8
# N's per 100 kbp	0.00	0.00	104.44	0.00
