Assembly	M05964_contigs	M07572_contigs	M10540_contigs	M16180_contigs
# fully unaligned contigs	1	11	0	269
Fully unaligned length	2293	67969	0	274460
# partially unaligned contigs	1	6	3	75
    # with misassembly	0	0	2	4
    # both parts are significant	1	2	1	5
Partially unaligned length	1426	14073	110373	28590
# N's	1086	1127	693	1471
