Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
meta.M28702	20	18	13	13	12	12	1873469	1872217	1861060	1861060	1840140	1840140	19	544650	1872971	38.00	135038	126398	4	7	12.81
spades.M28702	260	24	17	16	15	13	1976715	1871963	1854811	1849705	1828785	1751136	72	397053	1902571	38.03	135038	111366	5	9	0.00
velvet.M28702	32	22	16	15	13	12	1883052	1878083	1863729	1854976	1820394	1785038	26	544634	1880633	37.92	135107	116396	4	8	88.48
abyss.115.M28702	38	29	23	20	16	13	1924698	1921624	1907665	1885622	1809013	1695946	31	401288	1923023	38.18	128702	79968	5	10	1.14
