All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    meta.M29197  spades.M29197  velvet.M29197  abyss.115.M29197
# contigs (>= 0 bp)         19           711            29             26              
# contigs (>= 1000 bp)      17           211            20             22              
# contigs (>= 5000 bp)      10           36             12             18              
# contigs (>= 10000 bp)     10           22             11             15              
# contigs (>= 25000 bp)     9            14             10             14              
# contigs (>= 50000 bp)     7            11             8              11              
Total length (>= 0 bp)      1814493      2403795        1814173        1852366         
Total length (>= 1000 bp)   1813084      2149366        1809243        1850812         
Total length (>= 5000 bp)   1794072      1818594        1790522        1842661         
Total length (>= 10000 bp)  1794072      1722025        1781518        1814808         
Total length (>= 25000 bp)  1783638      1597383        1770809        1803261         
Total length (>= 50000 bp)  1730528      1499556        1710504        1719720         
# contigs                   19           398            23             23              
Largest contig              527691       244369         526174         531575          
Total length                1814493      2276455        1811645        1851550         
GC (%)                      37.99        37.88          38.00          38.15           
N50                         403060       125610         402382         143481          
N75                         141046       11536          140925         115417          
L50                         2            7              2              4               
L75                         4            21             4              7               
# N's per 100 kbp           44.64        0.00           0.55           0.00            
