Assembly	meta.M36580	spades.M36580	velvet.M36580	abyss.115.M36580
# contigs (>= 0 bp)	20	1401	29	33
# contigs (>= 1000 bp)	16	74	12	20
# contigs (>= 5000 bp)	10	10	8	13
# contigs (>= 10000 bp)	10	10	8	11
# contigs (>= 25000 bp)	9	8	8	10
# contigs (>= 50000 bp)	7	7	7	8
Total length (>= 0 bp)	1835795	2590113	1841899	1863678
Total length (>= 1000 bp)	1833911	1905649	1832782	1860580
Total length (>= 5000 bp)	1818345	1816411	1820646	1845679
Total length (>= 10000 bp)	1818345	1816411	1820646	1829506
Total length (>= 25000 bp)	1806424	1780411	1820646	1817017
Total length (>= 50000 bp)	1752994	1752034	1792516	1762513
# contigs	17	627	21	20
Largest contig	549016	549016	549192	552370
Total length	1834591	2270439	1838710	1860580
GC (%)	37.90	40.66	37.90	37.99
N50	369054	357870	382987	293153
N75	193102	61651	193886	192583
L50	2	3	2	3
L75	4	7	4	4
# N's per 100 kbp	0.00	0.00	71.19	1.88
