Assembly	M05964_contigs	M07572_contigs	M10540_contigs	M16180_contigs
# fully unaligned contigs	733	747	144	113
Fully unaligned length	584741	683890	113828	153348
# partially unaligned contigs	8	11	3	16
    # with misassembly	5	6	0	6
    # both parts are significant	4	6	0	8
Partially unaligned length	296949	276799	2827	422013
# N's	0	0	0	0
