Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
meta.M37982	18	14	11	11	9	8	1874389	1872130	1866937	1866937	1838744	1804138	16	595448	1873588	37.87	346095	142084	2	5	0.00
spades.M37982	78	15	11	11	9	8	1902806	1873316	1866937	1866937	1838744	1804138	33	595448	1885221	37.94	283237	142084	3	5	0.00
velvet.M37982	28	16	12	9	8	7	1881043	1875010	1869149	1850921	1834429	1799705	20	595183	1877799	37.85	453295	143059	2	4	64.81
abyss.115.M37982	30	22	15	12	9	8	1916210	1914086	1898160	1877816	1832416	1789531	22	600024	1914086	37.98	277461	145671	3	5	1.62
