Assembly	meta.M37982	spades.M37982	velvet.M37982	abyss.115.M37982
# contigs (>= 0 bp)	18	78	28	30
# contigs (>= 1000 bp)	14	15	16	22
# contigs (>= 5000 bp)	11	11	12	15
# contigs (>= 10000 bp)	11	11	9	12
# contigs (>= 25000 bp)	9	9	8	9
# contigs (>= 50000 bp)	8	8	7	8
Total length (>= 0 bp)	1874389	1902806	1881043	1916210
Total length (>= 1000 bp)	1872130	1873316	1875010	1914086
Total length (>= 5000 bp)	1866937	1866937	1869149	1898160
Total length (>= 10000 bp)	1866937	1866937	1850921	1877816
Total length (>= 25000 bp)	1838744	1838744	1834429	1832416
Total length (>= 50000 bp)	1804138	1804138	1799705	1789531
# contigs	16	33	20	22
Largest contig	595448	595448	595183	600024
Total length	1873588	1885221	1877799	1914086
GC (%)	37.87	37.94	37.85	37.98
N50	346095	283237	453295	277461
N75	142084	142084	143059	145671
L50	2	3	2	3
L75	5	5	4	5
# N's per 100 kbp	0.00	0.00	64.81	1.62
