All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    meta.M36606  spades.M36606  velvet.M36606  abyss.115.M36606
# contigs (>= 0 bp)         16           993            29             33              
# contigs (>= 1000 bp)      14           586            15             21              
# contigs (>= 5000 bp)      8            112            9              19              
# contigs (>= 10000 bp)     8            27             9              15              
# contigs (>= 25000 bp)     8            8              9              14              
# contigs (>= 50000 bp)     7            7              7              9               
Total length (>= 0 bp)      1773452      3974567        1780546        1981503         
Total length (>= 1000 bp)   1771898      3753048        1773388        1978242         
Total length (>= 5000 bp)   1755893      2600325        1759114        1975182         
Total length (>= 10000 bp)  1755893      2016161        1759114        1947273         
Total length (>= 25000 bp)  1755893      1755893        1759114        1932309         
Total length (>= 50000 bp)  1727907      1727907        1705428        1763043         
# contigs                   16           779            21             23              
Largest contig              526368       526368         526473         534153          
Total length                1773452      3887713        1777414        1979583         
GC (%)                      37.92        45.64          37.90          38.07           
N50                         404670       10967          404900         331386          
N75                         140926       3872           141189         79258           
L50                         2            21             2              3               
L75                         4            185            4              6               
# N's per 100 kbp           0.00         0.00           23.07          4.04            
