Assembly	meta.M27987	spades.M27987	velvet.M27987	abyss.115.M27987
# contigs (>= 0 bp)	29	254	33	35
# contigs (>= 1000 bp)	24	28	26	30
# contigs (>= 5000 bp)	13	15	14	20
# contigs (>= 10000 bp)	12	14	13	19
# contigs (>= 25000 bp)	12	12	13	15
# contigs (>= 50000 bp)	8	7	9	7
Total length (>= 0 bp)	1827068	1924081	1829391	1927533
Total length (>= 1000 bp)	1824102	1825093	1825908	1925459
Total length (>= 5000 bp)	1799748	1797812	1799923	1894382
Total length (>= 10000 bp)	1789892	1787956	1790114	1886165
Total length (>= 25000 bp)	1789892	1752982	1790114	1824546
Total length (>= 50000 bp)	1661935	1588344	1662707	1524126
# contigs	27	68	29	31
Largest contig	605950	605950	361796	352482
Total length	1826333	1849883	1827637	1926037
GC (%)	37.92	37.96	37.92	38.00
N50	361741	361741	282500	301916
N75	111366	111366	111464	111439
L50	2	2	3	3
L75	5	5	6	7
# N's per 100 kbp	18.67	0.00	51.43	3.58
