Assembly	meta.M29307	spades.M29307	velvet.M29307	abyss.115.M29307
# contigs (>= 0 bp)	34	211	53	49
# contigs (>= 1000 bp)	30	31	25	43
# contigs (>= 5000 bp)	23	23	20	30
# contigs (>= 10000 bp)	23	23	20	26
# contigs (>= 25000 bp)	15	15	13	14
# contigs (>= 50000 bp)	8	8	7	8
Total length (>= 0 bp)	1832673	1913257	1848545	1882997
Total length (>= 1000 bp)	1830390	1833593	1834992	1879707
Total length (>= 5000 bp)	1817662	1817662	1826961	1845712
Total length (>= 10000 bp)	1817662	1817662	1826961	1820271
Total length (>= 25000 bp)	1686497	1686497	1705015	1631811
Total length (>= 50000 bp)	1453812	1453812	1492980	1448743
# contigs	32	74	34	47
Largest contig	392818	392818	457525	388237
Total length	1831870	1859524	1840667	1882398
GC (%)	37.94	37.92	37.90	38.11
N50	266488	266488	266131	267629
N75	67894	59391	110989	60652
L50	3	3	3	3
L75	7	8	6	8
# N's per 100 kbp	0.00	0.00	45.69	0.00
