All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    meta.M27986  spades.M27986  velvet.M27986  abyss.115.M27986
# contigs (>= 0 bp)         28           152            31             33              
# contigs (>= 1000 bp)      24           26             24             29              
# contigs (>= 5000 bp)      13           15             13             18              
# contigs (>= 10000 bp)     12           14             12             16              
# contigs (>= 25000 bp)     12           13             12             13              
# contigs (>= 50000 bp)     8            7              8              6               
Total length (>= 0 bp)      1825818      1879712        1827946        1874641         
Total length (>= 1000 bp)   1823832      1824103        1824353        1872764         
Total length (>= 5000 bp)   1799333      1799604        1799393        1839834         
Total length (>= 10000 bp)  1789477      1789748        1789659        1821890         
Total length (>= 25000 bp)  1789477      1779616        1789659        1775344         
Total length (>= 50000 bp)  1661520      1588356        1662182        1510374         
# contigs                   26           50             28             30              
Largest contig              605950       605950         605817         611460          
Total length                1825083      1839285        1826645        1873342         
GC (%)                      37.92        37.93          37.92          38.06           
N50                         361753       361753         361808         352486          
N75                         111366       111366         111166         111439          
L50                         2            2              2              2               
L75                         5            5              5              6               
# N's per 100 kbp           0.00         0.00           51.62          4.00            
