Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
meta.M36557	15	13	11	10	8	7	1773948	1772394	1767286	1761731	1726233	1698393	15	526407	1773948	37.91	409658	141071	2	4	0.00
spades.M36557	258	14	11	10	8	7	1880629	1771180	1765043	1759488	1723990	1696150	72	526407	1806488	37.95	409658	141071	2	4	0.00
velvet.M36557	28	17	11	11	8	7	1779626	1774051	1763278	1763278	1713054	1685115	22	526512	1777275	37.91	410029	141189	2	4	63.19
abyss.115.M36557	28	21	19	17	16	11	1978135	1976795	1973741	1962909	1947945	1771870	21	535200	1976795	38.05	158327	79282	4	7	2.98
