Assembly	meta.M36557	spades.M36557	velvet.M36557	abyss.115.M36557
# contigs (>= 0 bp)	15	258	28	28
# contigs (>= 1000 bp)	13	14	17	21
# contigs (>= 5000 bp)	11	11	11	19
# contigs (>= 10000 bp)	10	10	11	17
# contigs (>= 25000 bp)	8	8	8	16
# contigs (>= 50000 bp)	7	7	7	11
Total length (>= 0 bp)	1773948	1880629	1779626	1978135
Total length (>= 1000 bp)	1772394	1771180	1774051	1976795
Total length (>= 5000 bp)	1767286	1765043	1763278	1973741
Total length (>= 10000 bp)	1761731	1759488	1763278	1962909
Total length (>= 25000 bp)	1726233	1723990	1713054	1947945
Total length (>= 50000 bp)	1698393	1696150	1685115	1771870
# contigs	15	72	22	21
Largest contig	526407	526407	526512	535200
Total length	1773948	1806488	1777275	1976795
GC (%)	37.91	37.95	37.91	38.05
N50	409658	409658	410029	158327
N75	141071	141071	141189	79282
L50	2	2	2	4
L75	4	4	4	7
# N's per 100 kbp	0.00	0.00	63.19	2.98
