All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    meta.M07572  spades.M07572  velvet.M07572  abyss.115.M07572
# contigs (>= 0 bp)         49           752            55             56              
# contigs (>= 1000 bp)      39           56             39             43              
# contigs (>= 5000 bp)      24           24             23             33              
# contigs (>= 10000 bp)     19           19             19             23              
# contigs (>= 25000 bp)     16           16             15             17              
# contigs (>= 50000 bp)     13           13             12             12              
Total length (>= 0 bp)      1955171      2308870        1970707        2048555         
Total length (>= 1000 bp)   1948377      1967907        1960626        2043783         
Total length (>= 5000 bp)   1912434      1912434        1925969        2018646         
Total length (>= 10000 bp)  1876531      1876531        1900883        1949434         
Total length (>= 25000 bp)  1825130      1825130        1844908        1845350         
Total length (>= 50000 bp)  1742141      1742141        1757715        1678736         
# contigs                   49           311            50             45              
Largest contig              305777       305777         306007         312371          
Total length                1955171      2127397        1968722        2045367         
GC (%)                      38.25        39.40          38.24          38.45           
N50                         140620       125428         197749         141184          
N75                         79549        62715          79667          77382           
L50                         5            6              4              5               
L75                         9            11             8              10              
# N's per 100 kbp           0.00         0.00           101.89         0.05            
