104	1
111	1
118	1
120	1
121	1
123	1
124	2
125	1
127	1
129	1
132	1
133	1
135	1
136	1
140	2
141	2
143	1
144	2
146	1
147	1
148	3
153	1
154	2
158	2
160	1
161	1
162	1
163	2
164	1
165	3
166	3
167	2
168	2
170	1
171	3
172	1
174	2
175	4
176	2
177	2
178	4
179	3
180	3
182	2
183	7
184	4
185	3
186	1
187	4
188	4
189	2
190	7
191	2
192	6
193	5
194	9
195	4
196	2
197	6
198	2
199	4
200	2
201	1
202	3
203	9
204	8
205	11
206	6
207	8
208	10
209	8
210	6
211	7
212	6
213	7
214	4
215	12
216	17
217	10
218	11
219	15
220	10
221	18
222	12
223	15
224	14
225	18
226	22
227	15
228	24
229	17
230	37
231	33
232	54
233	84
234	254
235	569
236	524
237	585
238	557
239	583
240	573
241	579
242	629
243	594
244	647
245	575
246	619
247	629
248	636
249	661
250	646
251	637
252	628
253	631
254	672
255	688
256	695
257	683
258	635
259	689
260	669
261	722
262	652
263	702
264	694
265	705
266	760
267	729
268	777
269	755
270	742
271	757
272	761
273	771
274	796
275	782
276	755
277	837
278	798
279	802
280	814
281	825
282	799
283	864
284	828
285	848
286	807
287	887
288	914
289	953
290	902
291	893
292	934
293	999
294	922
295	915
296	970
297	938
298	924
299	1005
300	952
301	938
302	1035
303	1021
304	974
305	994
306	1022
307	1022
308	1037
309	1027
310	1013
311	1050
312	1064
313	1061
314	1135
315	1136
316	1081
317	1113
318	1145
319	1188
320	1134
321	1240
322	1143
323	1148
324	1211
325	1223
326	1167
327	1243
328	1323
329	1169
330	1265
331	1243
332	1320
333	1306
334	1272
335	1301
336	1288
337	1325
338	1333
339	1282
340	1345
341	1389
342	1350
343	1353
344	1391
345	1419
346	1425
347	1411
348	1454
349	1475
350	1520
351	1443
352	1529
353	1480
354	1492
355	1578
356	1601
357	1616
358	1565
359	1641
360	1607
361	1648
362	1626
363	1625
364	1662
365	1639
366	1688
367	1647
368	1714
369	1642
370	1722
371	1734
372	1797
373	1750
374	1756
375	1783
376	1761
377	1797
378	1736
379	1872
380	1771
381	1857
382	1891
383	1895
384	1912
385	1982
386	1971
387	1918
388	1975
389	1981
390	2018
391	1893
392	2071
393	2079
394	2090
395	2045
396	2159
397	2075
398	2160
399	2184
400	2230
401	2207
402	2178
403	2113
404	2228
405	2242
406	2199
407	2184
408	2343
409	2318
410	2326
411	2324
412	2408
413	2475
414	2480
415	2478
416	2424
417	2501
418	2469
419	2590
420	2450
421	2506
422	2587
423	2645
424	2529
425	2617
426	2638
427	2606
428	2660
429	2636
430	2715
431	2670
432	2758
433	2723
434	2809
435	2842
436	2829
437	2825
438	2789
439	2871
440	2895
441	2908
442	2967
443	2857
444	2887
445	2933
446	2936
447	2976
448	3004
449	3017
450	2998
451	3202
452	3096
453	3055
454	3139
455	3059
456	3174
457	3113
458	3167
459	3265
460	3164
461	3184
462	3414
463	3291
464	3339
465	3401
466	3368
467	3451
468	3353
469	3374
470	3349
471	3452
472	3472
473	3435
474	3589
475	3509
476	3671
477	3563
478	3554
479	3563
480	3668
481	3764
482	3542
483	3655
484	3679
485	3781
486	3732
487	3693
488	3748
489	3686
490	3866
491	3738
492	3827
493	3722
494	3779
495	3890
496	3813
497	3828
498	3883
499	3880
500	3903
501	3950
502	3869
503	3876
504	3910
505	3976
506	3886
507	4021
508	4041
509	3854
510	3966
511	4025
512	4145
513	4073
514	4068
515	4076
516	3962
517	4163
518	4228
519	4150
520	4107
521	4291
522	4173
523	4156
524	4077
525	4226
526	4172
527	4042
528	4196
529	4256
530	4206
531	4144
532	4178
533	4159
534	4265
535	4186
536	4331
537	4315
538	4148
