All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    meta.M28853  spades.M28853  velvet.M28853  abyss.115.M28853
# contigs (>= 0 bp)         30           136            48             42              
# contigs (>= 1000 bp)      24           28             26             28              
# contigs (>= 5000 bp)      20           21             23             21              
# contigs (>= 10000 bp)     17           18             20             19              
# contigs (>= 25000 bp)     15           16             18             17              
# contigs (>= 50000 bp)     12           12             13             13              
Total length (>= 0 bp)      1921508      1966235        1931545        1975345         
Total length (>= 1000 bp)   1917975      1918849        1919670        1970180         
Total length (>= 5000 bp)   1912354      1905892        1914903        1958374         
Total length (>= 10000 bp)  1889129      1882667        1891754        1939846         
Total length (>= 25000 bp)  1845659      1839197        1848048        1908305         
Total length (>= 50000 bp)  1739419      1689781        1659852        1769946         
# contigs                   29           51             36             32              
Largest contig              437683       431429         400268         440456          
Total length                1921072      1932886        1926570        1972997         
GC (%)                      38.10        38.13          38.10          38.23           
N50                         151450       151450         151822         158572          
N75                         79692        68420          57408          79923           
L50                         4            4              4              4               
L75                         8            8              10             9               
# N's per 100 kbp           0.00         0.00           15.42          6.39            
